company_id,year,CFO_sign,CFI_sign,CFF_sign,pattern_label
ASIANPAINT,2024-03,+,-,-,Reinvestor
AXISBANK,2013-03,+,-,+,Aggressive Expander
AXISBANK,2014-03,+,-,+,Aggressive Expander
AXISBANK,2015-03,-,-,+,Distress Signal
AXISBANK,2016-03,-,+,+,Distress Signal
AXISBANK,2017-03,+,-,-,Reinvestor
AXISBANK,2018-03,-,-,+,Distress Signal
AXISBANK,2019-03,+,-,+,Aggressive Expander
AXISBANK,2020-03,+,-,+,Aggressive Expander
AXISBANK,2021-03,+,-,+,Aggressive Expander
AXISBANK,2022-03,+,-,+,Aggressive Expander
AXISBANK,2023-03,+,-,+,Aggressive Expander
AXISBANK,2024-03,-,-,+,Distress Signal
BAJAJ-AUTO,2013-03,+,-,-,Reinvestor
BAJAJ-AUTO,2014-03,+,-,-,Reinvestor
BAJAJ-AUTO,2015-03,+,-,-,Reinvestor
BAJAJ-AUTO,2016-03,+,-,-,Reinvestor
BAJAJ-AUTO,2017-03,+,-,-,Reinvestor
BAJAJ-AUTO,2018-03,+,-,-,Reinvestor
BAJAJ-AUTO,2019-03,+,-,-,Reinvestor
BAJAJ-AUTO,2020-03,+,+,-,Asset Seller
BAJAJ-AUTO,2021-03,+,-,-,Reinvestor
BAJAJ-AUTO,2022-03,+,+,-,Asset Seller
BAJAJ-AUTO,2023-03,+,+,-,Asset Seller
BAJAJ-AUTO,2024-03,+,-,-,Reinvestor
BAJAJFINSV,2013-03,-,+,+,Distress Signal
BAJAJFINSV,2014-03,-,+,+,Distress Signal
BAJAJFINSV,2015-03,-,+,+,Distress Signal
BAJAJFINSV,2016-03,-,-,+,Distress Signal
BAJAJFINSV,2017-03,-,+,+,Distress Signal
BAJAJFINSV,2018-03,-,-,+,Distress Signal
BAJAJFINSV,2019-03,-,-,+,Distress Signal
BAJAJFINSV,2020-03,-,-,+,Distress Signal
BAJAJFINSV,2021-03,+,-,+,Aggressive Expander
BAJAJFINSV,2022-03,-,+,+,Distress Signal
BAJAJFINSV,2023-03,-,-,+,Distress Signal
BAJAJFINSV,2024-03,-,-,+,Distress Signal
BAJAJHLDNG,2013-03,+,-,-,Reinvestor
BAJAJHLDNG,2014-03,+,-,-,Reinvestor
BAJAJHLDNG,2015-03,+,-,-,Reinvestor
BAJAJHLDNG,2016-03,+,+,-,Asset Seller
BAJAJHLDNG,2017-03,-,-,-,Contraction
BAJAJHLDNG,2018-03,+,-,-,Reinvestor
BAJAJHLDNG,2019-03,+,-,-,Reinvestor
BAJAJHLDNG,2020-03,+,-,-,Reinvestor
BAJAJHLDNG,2021-03,+,-,-,Reinvestor
BAJAJHLDNG,2022-03,+,-,-,Reinvestor
BAJAJHLDNG,2023-03,+,-,-,Reinvestor
BAJAJHLDNG,2024-03,+,-,-,Reinvestor
BAJFINANCE,2015-03,-,-,+,Distress Signal
BAJFINANCE,2016-03,-,-,+,Distress Signal
BAJFINANCE,2017-03,-,-,+,Distress Signal
BAJFINANCE,2018-03,-,+,+,Distress Signal
BAJFINANCE,2019-03,-,-,+,Distress Signal
BAJFINANCE,2020-03,-,-,+,Distress Signal
BAJFINANCE,2021-03,-,-,+,Distress Signal
BAJFINANCE,2022-03,-,+,+,Distress Signal
BAJFINANCE,2023-03,-,-,+,Distress Signal
BAJFINANCE,2024-03,-,-,+,Distress Signal
BANKBARODA,2013-03,+,-,-,Reinvestor
BANKBARODA,2014-03,+,-,+,Aggressive Expander
BANKBARODA,2015-03,+,-,-,Reinvestor
BANKBARODA,2016-03,-,-,-,Contraction
BANKBARODA,2017-03,+,-,-,Reinvestor
BANKBARODA,2018-03,-,-,+,Distress Signal
BANKBARODA,2019-03,-,-,+,Distress Signal
BANKBARODA,2020-03,+,-,+,Aggressive Expander
BANKBARODA,2021-03,-,-,-,Contraction
BANKBARODA,2022-03,+,-,-,Reinvestor
BANKBARODA,2023-03,-,-,-,Contraction
BANKBARODA,2024-03,-,-,+,Distress Signal
BEL,2013-03,-,+,-,Restructuring
BEL,2014-03,-,+,-,Restructuring
BEL,2015-03,+,-,-,Reinvestor
BEL,2016-03,+,-,-,Reinvestor
BEL,2017-03,-,+,-,Restructuring
BEL,2018-03,-,-,-,Contraction
BEL,2019-03,+,-,-,Reinvestor
BEL,2020-03,+,-,-,Reinvestor
BEL,2021-03,+,-,-,Reinvestor
BEL,2022-03,+,-,-,Reinvestor
BEL,2023-03,+,+,-,Asset Seller
BEL,2024-03,+,-,-,Reinvestor
BHARTIARTL,2013-03,+,-,-,Reinvestor
BHARTIARTL,2014-03,+,-,+,Aggressive Expander
BHARTIARTL,2015-03,+,-,-,Reinvestor
BHARTIARTL,2016-03,+,-,-,Reinvestor
BHARTIARTL,2017-03,+,-,-,Reinvestor
BHARTIARTL,2018-03,+,-,+,Aggressive Expander
BHARTIARTL,2019-03,+,-,+,Aggressive Expander
BHARTIARTL,2020-03,+,-,+,Aggressive Expander
BHARTIARTL,2021-03,+,-,-,Reinvestor
BHARTIARTL,2022-03,+,-,-,Reinvestor
BHARTIARTL,2023-03,+,-,-,Reinvestor
BHARTIARTL,2024-03,+,-,-,Reinvestor
BHEL,2013-03,+,-,+,Aggressive Expander
BHEL,2014-03,+,-,+,Aggressive Expander
BHEL,2015-03,+,+,-,Asset Seller
BHEL,2016-03,+,+,-,Asset Seller
BHEL,2017-03,+,-,-,Reinvestor
BHEL,2018-03,+,+,-,Asset Seller
BHEL,2019-03,-,+,-,Restructuring
BHEL,2020-03,-,+,+,Distress Signal
BHEL,2021-03,+,-,-,Reinvestor
BHEL,2022-03,+,-,-,Reinvestor
BHEL,2023-03,-,+,+,Distress Signal
BHEL,2024-03,-,+,+,Distress Signal
BOSCHLTD,2012-12,+,-,-,Reinvestor
BOSCHLTD,2013-12,+,-,-,Reinvestor
BOSCHLTD,2015-03,+,-,-,Reinvestor
BOSCHLTD,2016-03,+,-,-,Reinvestor
BOSCHLTD,2017-03,+,+,-,Asset Seller
BOSCHLTD,2018-03,+,-,-,Reinvestor
BOSCHLTD,2019-03,+,+,-,Asset Seller
BOSCHLTD,2020-03,+,-,-,Reinvestor
BOSCHLTD,2021-03,+,-,-,Reinvestor
BOSCHLTD,2022-03,+,-,-,Reinvestor
BOSCHLTD,2023-03,+,+,-,Asset Seller
BOSCHLTD,2024-03,+,+,-,Asset Seller
BPCL,2013-03,+,-,-,Reinvestor
BPCL,2014-03,+,-,-,Reinvestor
BPCL,2015-03,+,-,-,Reinvestor
BPCL,2016-03,+,-,-,Reinvestor
BPCL,2017-03,+,-,+,Aggressive Expander
BPCL,2018-03,+,-,-,Reinvestor
BPCL,2019-03,+,-,+,Aggressive Expander
BPCL,2020-03,+,-,+,Aggressive Expander
BPCL,2021-03,+,-,-,Reinvestor
BPCL,2022-03,+,-,-,Reinvestor
BPCL,2023-03,+,-,-,Reinvestor
BPCL,2024-03,+,-,-,Reinvestor
BRITANNIA,2013-03,+,+,-,Asset Seller
BRITANNIA,2014-03,+,-,-,Reinvestor
BRITANNIA,2015-03,+,-,-,Reinvestor
BRITANNIA,2016-03,+,-,-,Reinvestor
BRITANNIA,2017-03,+,-,-,Reinvestor
BRITANNIA,2018-03,+,-,-,Reinvestor
BRITANNIA,2019-03,+,-,-,Reinvestor
BRITANNIA,2020-03,+,-,+,Aggressive Expander
BRITANNIA,2021-03,+,+,-,Asset Seller
BRITANNIA,2022-03,+,+,-,Asset Seller
BRITANNIA,2023-03,+,-,-,Reinvestor
BRITANNIA,2024-03,+,+,-,Asset Seller
CANBK,2013-03,+,-,-,Reinvestor
CANBK,2014-03,+,-,-,Reinvestor
CANBK,2015-03,+,-,-,Reinvestor
CANBK,2016-03,+,-,-,Reinvestor
CANBK,2017-03,+,-,+,Aggressive Expander
CANBK,2018-03,-,-,+,Distress Signal
CANBK,2019-03,+,-,-,Reinvestor
CANBK,2020-03,-,-,+,Distress Signal
CANBK,2021-03,+,-,+,Aggressive Expander
CANBK,2022-03,+,-,+,Aggressive Expander
CANBK,2023-03,-,-,+,Distress Signal
CANBK,2024-03,+,-,-,Reinvestor
CHOLAFIN,2013-03,-,+,+,Distress Signal
CHOLAFIN,2014-03,-,-,+,Distress Signal
CHOLAFIN,2015-03,-,-,+,Distress Signal
CHOLAFIN,2016-03,-,-,+,Distress Signal
CHOLAFIN,2017-03,-,-,+,Distress Signal
CHOLAFIN,2018-03,-,-,+,Distress Signal
CHOLAFIN,2019-03,-,-,+,Distress Signal
CHOLAFIN,2020-03,-,-,+,Distress Signal
CHOLAFIN,2021-03,-,-,+,Distress Signal
CHOLAFIN,2022-03,-,+,+,Distress Signal
CHOLAFIN,2023-03,-,-,+,Distress Signal
CHOLAFIN,2024-03,-,-,+,Distress Signal
CIPLA,2013-03,+,-,+,Aggressive Expander
CIPLA,2014-03,+,-,-,Reinvestor
CIPLA,2015-03,+,-,+,Aggressive Expander
CIPLA,2016-03,+,-,+,Aggressive Expander
CIPLA,2017-03,+,-,-,Reinvestor
CIPLA,2018-03,+,-,-,Reinvestor
CIPLA,2019-03,+,-,-,Reinvestor
CIPLA,2020-03,+,+,-,Asset Seller
CIPLA,2021-03,+,-,-,Reinvestor
CIPLA,2022-03,+,-,-,Reinvestor
CIPLA,2023-03,+,-,-,Reinvestor
CIPLA,2024-03,+,-,-,Reinvestor
COALINDIA,2013-03,+,-,-,Reinvestor
COALINDIA,2014-03,+,+,-,Asset Seller
COALINDIA,2015-03,+,+,-,Asset Seller
COALINDIA,2016-03,+,+,-,Asset Seller
COALINDIA,2017-03,+,+,-,Asset Seller
COALINDIA,2018-03,+,-,-,Reinvestor
COALINDIA,2019-03,+,-,-,Reinvestor
COALINDIA,2020-03,+,+,-,Asset Seller
COALINDIA,2021-03,+,+,-,Asset Seller
COALINDIA,2022-03,+,-,-,Reinvestor
COALINDIA,2023-03,+,-,-,Reinvestor
COALINDIA,2024-03,+,-,-,Reinvestor
DABUR,2013-03,+,-,-,Reinvestor
DABUR,2014-03,+,-,-,Reinvestor
DABUR,2015-03,+,-,-,Reinvestor
DABUR,2016-03,+,-,-,Reinvestor
DABUR,2017-03,+,-,-,Reinvestor
DABUR,2018-03,+,-,-,Reinvestor
DABUR,2019-03,+,+,-,Asset Seller
DABUR,2020-03,+,-,-,Reinvestor
DABUR,2021-03,+,-,-,Reinvestor
DABUR,2022-03,+,-,-,Reinvestor
DABUR,2023-03,+,-,-,Reinvestor
DABUR,2024-03,+,-,-,Reinvestor
DIVISLAB,2013-03,+,-,-,Reinvestor
DIVISLAB,2014-03,+,-,-,Reinvestor
DIVISLAB,2015-03,+,-,-,Reinvestor
DIVISLAB,2016-03,+,-,-,Reinvestor
DIVISLAB,2017-03,+,-,+,Aggressive Expander
DIVISLAB,2018-03,+,-,-,Reinvestor
DIVISLAB,2019-03,+,-,-,Reinvestor
DIVISLAB,2020-03,+,-,-,Reinvestor
DIVISLAB,2021-03,+,+,-,Asset Seller
DIVISLAB,2022-03,+,-,-,Reinvestor
DIVISLAB,2023-03,+,-,-,Reinvestor
DIVISLAB,2024-03,+,-,-,Reinvestor
DLF,2013-03,+,+,-,Asset Seller
DLF,2014-03,+,+,-,Asset Seller
DLF,2015-03,+,+,-,Asset Seller
DLF,2016-03,+,-,-,Reinvestor
DLF,2017-03,-,+,+,Distress Signal
DLF,2018-03,+,-,-,Reinvestor
DLF,2019-03,+,+,+,Cash Accumulator
DLF,2020-03,+,+,-,Asset Seller
DLF,2021-03,+,+,-,Asset Seller
DLF,2022-03,+,+,-,Asset Seller
DLF,2023-03,+,-,-,Reinvestor
DLF,2024-03,+,-,+,Aggressive Expander
DMART,2013-03,+,-,+,Aggressive Expander
DMART,2014-03,+,-,+,Aggressive Expander
DMART,2015-03,+,-,+,Aggressive Expander
DMART,2016-03,+,-,+,Aggressive Expander
DMART,2017-03,+,-,+,Aggressive Expander
DMART,2018-03,+,+,-,Asset Seller
DMART,2019-03,+,-,+,Aggressive Expander
DMART,2020-03,+,-,+,Aggressive Expander
DMART,2021-03,+,-,-,Reinvestor
DMART,2022-03,+,-,-,Reinvestor
DMART,2023-03,+,-,-,Reinvestor
DMART,2024-03,+,-,-,Reinvestor
DRREDDY,2013-03,+,-,-,Reinvestor
DRREDDY,2014-03,+,-,-,Reinvestor
DRREDDY,2015-03,+,-,-,Reinvestor
DRREDDY,2016-03,+,-,-,Reinvestor
DRREDDY,2017-03,+,-,-,Reinvestor
DRREDDY,2018-03,+,-,-,Reinvestor
DRREDDY,2019-03,+,-,-,Reinvestor
DRREDDY,2020-03,+,-,-,Reinvestor
DRREDDY,2021-03,+,-,-,Reinvestor
DRREDDY,2022-03,+,-,-,Reinvestor
DRREDDY,2023-03,+,-,-,Reinvestor
DRREDDY,2024-03,+,-,-,Reinvestor
EICHERMOT,2012-12,+,-,-,Reinvestor
EICHERMOT,2013-12,+,-,-,Reinvestor
EICHERMOT,2014-12,+,-,-,Reinvestor
EICHERMOT,2016-03,+,-,-,Reinvestor
EICHERMOT,2017-03,+,-,+,Aggressive Expander
EICHERMOT,2018-03,+,-,-,Reinvestor
EICHERMOT,2019-03,+,-,-,Reinvestor
EICHERMOT,2020-03,+,-,-,Reinvestor
EICHERMOT,2021-03,+,-,-,Reinvestor
EICHERMOT,2022-03,+,-,-,Reinvestor
EICHERMOT,2023-03,+,-,-,Reinvestor
EICHERMOT,2024-03,+,-,-,Reinvestor
GAIL,2013-03,+,-,+,Aggressive Expander
GAIL,2014-03,+,-,-,Reinvestor
GAIL,2015-03,+,-,-,Reinvestor
GAIL,2016-03,+,-,-,Reinvestor
GAIL,2017-03,+,-,-,Reinvestor
GAIL,2018-03,+,-,-,Reinvestor
GAIL,2019-03,+,-,-,Reinvestor
GAIL,2020-03,+,-,+,Aggressive Expander
GAIL,2021-03,+,-,-,Reinvestor
GAIL,2022-03,+,-,-,Reinvestor
GAIL,2023-03,+,-,+,Aggressive Expander
GAIL,2024-03,+,-,-,Reinvestor
GODREJCP,2013-03,+,-,+,Aggressive Expander
GODREJCP,2014-03,+,-,-,Reinvestor
GODREJCP,2015-03,+,-,-,Reinvestor
GODREJCP,2016-03,+,-,-,Reinvestor
GODREJCP,2017-03,+,-,+,Aggressive Expander
GODREJCP,2018-03,+,-,-,Reinvestor
GODREJCP,2019-03,+,+,-,Asset Seller
GODREJCP,2020-03,+,-,-,Reinvestor
GODREJCP,2021-03,+,-,-,Reinvestor
GODREJCP,2022-03,+,-,-,Reinvestor
GODREJCP,2023-03,+,-,-,Reinvestor
GODREJCP,2024-03,+,-,+,Aggressive Expander
GRASIM,2013-03,+,-,+,Aggressive Expander
GRASIM,2014-03,+,-,-,Reinvestor
GRASIM,2015-03,+,-,-,Reinvestor
GRASIM,2016-03,+,-,-,Reinvestor
GRASIM,2017-03,+,-,-,Reinvestor
GRASIM,2018-03,-,+,+,Distress Signal
GRASIM,2019-03,-,-,+,Distress Signal
GRASIM,2020-03,+,-,-,Reinvestor
GRASIM,2021-03,+,-,-,Reinvestor
GRASIM,2022-03,+,-,-,Reinvestor
GRASIM,2023-03,-,-,+,Distress Signal
GRASIM,2024-03,-,-,+,Distress Signal
HAL,2017-03,-,+,-,Restructuring
HAL,2018-03,-,+,-,Restructuring
HAL,2019-03,-,+,+,Distress Signal
HAL,2020-03,+,-,+,Aggressive Expander
HAL,2021-03,+,-,-,Reinvestor
HAL,2022-03,+,-,-,Reinvestor
HAL,2023-03,+,-,-,Reinvestor
HAL,2024-03,+,-,-,Reinvestor
HAVELLS,2013-03,+,-,-,Reinvestor
HAVELLS,2014-03,+,-,-,Reinvestor
HAVELLS,2015-03,+,-,-,Reinvestor
HAVELLS,2016-03,+,-,-,Reinvestor
HAVELLS,2017-03,+,-,-,Reinvestor
HAVELLS,2018-03,+,-,-,Reinvestor
HAVELLS,2019-03,+,+,-,Asset Seller
HAVELLS,2020-03,+,-,-,Reinvestor
HAVELLS,2021-03,+,-,+,Aggressive Expander
HAVELLS,2022-03,+,-,-,Reinvestor
HAVELLS,2023-03,+,+,-,Asset Seller
HAVELLS,2024-03,+,-,-,Reinvestor
HCLTECH,2013-06,+,-,-,Reinvestor
HCLTECH,2014-06,+,-,-,Reinvestor
HCLTECH,2015-06,+,-,-,Reinvestor
HCLTECH,2016-03,+,-,-,Reinvestor
HCLTECH,2017-03,+,-,-,Reinvestor
HCLTECH,2018-03,+,-,-,Reinvestor
HCLTECH,2019-03,+,-,-,Reinvestor
HCLTECH,2020-03,+,-,-,Reinvestor
HCLTECH,2021-03,+,-,-,Reinvestor
HCLTECH,2022-03,+,+,-,Asset Seller
HCLTECH,2023-03,+,-,-,Reinvestor
HCLTECH,2024-03,+,-,-,Reinvestor
HDFCBANK,2013-03,-,-,+,Distress Signal
HDFCBANK,2014-03,+,-,+,Aggressive Expander
HDFCBANK,2015-03,-,-,+,Distress Signal
HDFCBANK,2016-03,-,-,+,Distress Signal
HDFCBANK,2017-03,+,-,-,Reinvestor
HDFCBANK,2018-03,+,-,+,Aggressive Expander
HDFCBANK,2019-03,-,-,+,Distress Signal
HDFCBANK,2020-03,-,-,+,Distress Signal
HDFCBANK,2021-03,+,-,-,Reinvestor
HDFCBANK,2022-03,-,-,+,Distress Signal
HDFCBANK,2023-03,+,-,+,Aggressive Expander
HDFCBANK,2024-03,+,+,-,Asset Seller
HDFCLIFE,2013-03,-,-,-,Contraction
HDFCLIFE,2014-03,-,-,-,Contraction
HDFCLIFE,2015-03,+,-,-,Reinvestor
HDFCLIFE,2016-03,+,-,-,Reinvestor
HDFCLIFE,2017-03,+,-,-,Reinvestor
HDFCLIFE,2018-03,+,-,-,Reinvestor
HDFCLIFE,2019-03,+,-,-,Reinvestor
HDFCLIFE,2020-03,+,-,+,Aggressive Expander
HDFCLIFE,2021-03,+,-,+,Aggressive Expander
HDFCLIFE,2022-03,+,-,-,Reinvestor
HDFCLIFE,2023-03,+,-,+,Aggressive Expander
HDFCLIFE,2024-03,+,-,-,Reinvestor
HEROMOTOCO,2014-03,+,-,-,Reinvestor
HEROMOTOCO,2015-03,+,+,-,Asset Seller
HEROMOTOCO,2016-03,+,-,-,Reinvestor
HEROMOTOCO,2017-03,+,-,-,Reinvestor
HEROMOTOCO,2018-03,+,-,-,Reinvestor
HEROMOTOCO,2019-03,+,+,-,Asset Seller
HEROMOTOCO,2020-03,+,-,-,Reinvestor
HEROMOTOCO,2021-03,+,-,-,Reinvestor
HEROMOTOCO,2022-03,+,-,-,Reinvestor
HEROMOTOCO,2023-03,+,-,-,Reinvestor
HEROMOTOCO,2024-03,+,-,-,Reinvestor
HINDALCO,2013-03,+,-,+,Aggressive Expander
HINDALCO,2014-03,+,-,+,Aggressive Expander
HINDALCO,2015-03,+,-,-,Reinvestor
HINDALCO,2016-03,+,-,-,Reinvestor
HINDALCO,2017-03,+,-,-,Reinvestor
HINDALCO,2018-03,+,+,-,Asset Seller
HINDALCO,2019-03,+,-,-,Reinvestor
HINDALCO,2020-03,+,-,+,Aggressive Expander
HINDALCO,2021-03,+,-,-,Reinvestor
HINDALCO,2022-03,+,-,-,Reinvestor
HINDALCO,2023-03,+,-,-,Reinvestor
HINDALCO,2024-03,+,-,-,Reinvestor
HINDUNILVR,2013-03,+,+,-,Asset Seller
HINDUNILVR,2014-03,+,-,-,Reinvestor
HINDUNILVR,2015-03,+,+,-,Asset Seller
HINDUNILVR,2016-03,+,-,-,Reinvestor
HINDUNILVR,2017-03,+,-,-,Reinvestor
HINDUNILVR,2018-03,+,-,-,Reinvestor
HINDUNILVR,2019-03,+,-,-,Reinvestor
HINDUNILVR,2020-03,+,+,-,Asset Seller
HINDUNILVR,2021-03,+,-,-,Reinvestor
HINDUNILVR,2022-03,+,-,-,Reinvestor
HINDUNILVR,2023-03,+,-,-,Reinvestor
HINDUNILVR,2024-03,+,-,-,Reinvestor
ICICIBANK,2013-03,+,-,+,Aggressive Expander
ICICIBANK,2014-03,+,-,+,Aggressive Expander
ICICIBANK,2015-03,-,-,+,Distress Signal
ICICIBANK,2016-03,+,-,+,Aggressive Expander
ICICIBANK,2017-03,+,-,-,Reinvestor
ICICIBANK,2018-03,+,-,+,Aggressive Expander
ICICIBANK,2019-03,+,-,-,Reinvestor
ICICIBANK,2020-03,+,-,+,Aggressive Expander
ICICIBANK,2021-03,+,-,-,Reinvestor
ICICIBANK,2022-03,+,-,+,Aggressive Expander
ICICIBANK,2023-03,-,-,+,Distress Signal
ICICIBANK,2024-03,+,-,+,Aggressive Expander
ICICIGI,2013-03,+,-,+,Aggressive Expander
ICICIGI,2014-03,+,-,+,Aggressive Expander
ICICIGI,2015-03,-,+,-,Restructuring
ICICIGI,2016-03,+,-,-,Reinvestor
ICICIGI,2017-03,+,-,+,Aggressive Expander
ICICIGI,2018-03,+,-,-,Reinvestor
ICICIGI,2019-03,+,-,-,Reinvestor
ICICIGI,2020-03,+,-,-,Reinvestor
ICICIGI,2021-03,+,-,-,Reinvestor
ICICIGI,2022-03,+,+,-,Asset Seller
ICICIGI,2023-03,+,-,-,Reinvestor
ICICIGI,2024-03,+,-,-,Reinvestor
ICICIPRULI,2013-03,-,+,-,Restructuring
ICICIPRULI,2014-03,-,+,-,Restructuring
ICICIPRULI,2015-03,+,-,-,Reinvestor
ICICIPRULI,2016-03,+,+,-,Asset Seller
ICICIPRULI,2017-03,+,-,-,Reinvestor
ICICIPRULI,2018-03,+,-,-,Reinvestor
ICICIPRULI,2019-03,+,-,-,Reinvestor
ICICIPRULI,2020-03,+,-,-,Reinvestor
ICICIPRULI,2021-03,+,-,+,Aggressive Expander
ICICIPRULI,2022-03,+,-,-,Reinvestor
ICICIPRULI,2023-03,+,-,-,Reinvestor
ICICIPRULI,2024-03,-,+,-,Restructuring
INDIGO,2013-03,+,-,+,Aggressive Expander
INDIGO,2014-03,+,-,+,Aggressive Expander
INDIGO,2015-03,+,-,-,Reinvestor
