company_id,year,CFO_sign,CFI_sign,CFF_sign,pattern_label
INDIGO,2016-03,+,-,-,Reinvestor
INDIGO,2017-03,+,-,-,Reinvestor
INDIGO,2018-03,+,-,+,Aggressive Expander
INDIGO,2019-03,+,-,-,Reinvestor
INDIGO,2020-03,+,-,-,Reinvestor
INDIGO,2021-03,-,+,-,Restructuring
INDIGO,2022-03,+,+,-,Asset Seller
INDIGO,2023-03,+,-,-,Reinvestor
INDIGO,2024-03,+,-,-,Reinvestor
INDUSINDBK,2013-03,-,-,+,Distress Signal
INDUSINDBK,2014-03,-,-,+,Distress Signal
INDUSINDBK,2015-03,-,-,+,Distress Signal
INDUSINDBK,2016-03,-,-,+,Distress Signal
INDUSINDBK,2017-03,+,-,-,Reinvestor
INDUSINDBK,2018-03,-,-,+,Distress Signal
INDUSINDBK,2019-03,-,-,+,Distress Signal
INDUSINDBK,2020-03,-,+,+,Distress Signal
INDUSINDBK,2021-03,+,-,-,Reinvestor
INDUSINDBK,2022-03,+,-,-,Reinvestor
INDUSINDBK,2023-03,-,-,+,Distress Signal
INDUSINDBK,2024-03,-,-,-,Contraction
INFY,2013-03,+,-,-,Reinvestor
INFY,2014-03,+,-,-,Reinvestor
INFY,2015-03,+,+,-,Asset Seller
INFY,2016-03,+,-,-,Reinvestor
INFY,2017-03,+,-,-,Reinvestor
INFY,2018-03,+,+,-,Asset Seller
INFY,2019-03,+,-,-,Reinvestor
INFY,2020-03,+,-,-,Reinvestor
INFY,2021-03,+,-,-,Reinvestor
INFY,2022-03,+,-,-,Reinvestor
INFY,2023-03,+,-,-,Reinvestor
INFY,2024-03,+,-,-,Reinvestor
IOC,2013-03,+,-,+,Aggressive Expander
IOC,2014-03,+,-,-,Reinvestor
IOC,2015-03,+,-,-,Reinvestor
IOC,2016-03,+,-,-,Reinvestor
IOC,2017-03,+,-,-,Reinvestor
IOC,2018-03,+,-,-,Reinvestor
IOC,2019-03,+,-,+,Aggressive Expander
IOC,2020-03,+,-,+,Aggressive Expander
IOC,2021-03,+,-,-,Reinvestor
IOC,2022-03,+,-,-,Reinvestor
IOC,2023-03,+,-,-,Reinvestor
IOC,2024-03,+,-,-,Reinvestor
IRCTC,2015-03,+,-,-,Reinvestor
IRCTC,2016-03,+,+,-,Asset Seller
IRCTC,2017-03,+,+,-,Asset Seller
IRCTC,2018-03,+,+,-,Asset Seller
IRCTC,2019-03,+,-,-,Reinvestor
IRCTC,2020-03,+,+,-,Asset Seller
IRCTC,2021-03,+,-,-,Reinvestor
IRCTC,2022-03,+,-,-,Reinvestor
IRCTC,2023-03,+,-,-,Reinvestor
IRCTC,2024-03,+,-,-,Reinvestor
IRFC,2016-03,-,+,+,Distress Signal
IRFC,2017-03,-,+,+,Distress Signal
IRFC,2018-03,-,+,+,Distress Signal
IRFC,2019-03,-,+,+,Distress Signal
IRFC,2020-03,-,+,+,Distress Signal
IRFC,2021-03,-,+,+,Distress Signal
IRFC,2022-03,-,-,+,Distress Signal
IRFC,2023-03,-,+,+,Distress Signal
IRFC,2024-03,+,-,-,Reinvestor
ITC,2013-03,+,-,-,Reinvestor
ITC,2014-03,+,-,-,Reinvestor
ITC,2015-03,+,-,-,Reinvestor
ITC,2016-03,+,-,-,Reinvestor
ITC,2017-03,+,-,-,Reinvestor
ITC,2018-03,+,-,-,Reinvestor
ITC,2019-03,+,-,-,Reinvestor
ITC,2020-03,+,-,-,Reinvestor
ITC,2021-03,+,+,-,Asset Seller
ITC,2022-03,+,-,-,Reinvestor
ITC,2023-03,+,-,-,Reinvestor
ITC,2024-03,+,+,-,Asset Seller
JINDALSTEL,2013-03,+,-,+,Aggressive Expander
JINDALSTEL,2014-03,+,-,+,Aggressive Expander
JINDALSTEL,2015-03,+,-,+,Aggressive Expander
JINDALSTEL,2016-03,+,-,-,Reinvestor
JINDALSTEL,2017-03,+,-,-,Reinvestor
JINDALSTEL,2018-03,+,-,-,Reinvestor
JINDALSTEL,2019-03,+,-,-,Reinvestor
JINDALSTEL,2020-03,+,-,-,Reinvestor
JINDALSTEL,2021-03,+,-,-,Reinvestor
JINDALSTEL,2022-03,+,-,-,Reinvestor
JINDALSTEL,2023-03,+,-,-,Reinvestor
JINDALSTEL,2024-03,+,-,+,Aggressive Expander
JIOFIN,2023-03,+,-,-,Reinvestor
JIOFIN,2024-03,-,+,-,Restructuring
JSWENERGY,2013-03,+,-,-,Reinvestor
JSWENERGY,2014-03,+,-,-,Reinvestor
JSWENERGY,2015-03,+,-,-,Reinvestor
JSWENERGY,2016-03,+,-,-,Reinvestor
JSWENERGY,2017-03,+,-,-,Reinvestor
JSWENERGY,2018-03,+,-,-,Reinvestor
JSWENERGY,2019-03,+,-,-,Reinvestor
JSWENERGY,2020-03,+,+,-,Asset Seller
JSWENERGY,2021-03,+,-,-,Reinvestor
JSWENERGY,2022-03,+,-,-,Reinvestor
JSWENERGY,2023-03,+,-,+,Aggressive Expander
JSWENERGY,2024-03,+,-,+,Aggressive Expander
JSWSTEEL,2013-03,+,-,-,Reinvestor
JSWSTEEL,2014-03,+,-,+,Aggressive Expander
JSWSTEEL,2015-03,+,-,-,Reinvestor
JSWSTEEL,2016-03,+,-,-,Reinvestor
JSWSTEEL,2017-03,+,-,-,Reinvestor
JSWSTEEL,2018-03,+,-,-,Reinvestor
JSWSTEEL,2019-03,+,-,+,Aggressive Expander
JSWSTEEL,2020-03,+,-,+,Aggressive Expander
JSWSTEEL,2021-03,+,-,-,Reinvestor
JSWSTEEL,2022-03,+,-,-,Reinvestor
JSWSTEEL,2023-03,+,-,-,Reinvestor
JSWSTEEL,2024-03,+,-,-,Reinvestor
KOTAKBANK,2013-03,+,-,+,Aggressive Expander
KOTAKBANK,2014-03,+,-,-,Reinvestor
KOTAKBANK,2015-03,+,-,+,Aggressive Expander
KOTAKBANK,2016-03,+,-,+,Aggressive Expander
KOTAKBANK,2017-03,+,-,+,Aggressive Expander
KOTAKBANK,2018-03,-,-,+,Distress Signal
KOTAKBANK,2019-03,+,-,+,Aggressive Expander
KOTAKBANK,2020-03,+,-,-,Reinvestor
KOTAKBANK,2021-03,+,-,-,Reinvestor
KOTAKBANK,2022-03,+,-,+,Aggressive Expander
KOTAKBANK,2023-03,-,-,+,Distress Signal
KOTAKBANK,2024-03,+,-,+,Aggressive Expander
LICI,2019-03,+,+,-,Asset Seller
LICI,2020-03,+,-,-,Reinvestor
LICI,2021-03,+,+,-,Asset Seller
LICI,2022-03,-,+,+,Distress Signal
LICI,2023-03,+,-,-,Reinvestor
LICI,2024-03,+,-,-,Reinvestor
LODHA,2016-03,+,-,+,Aggressive Expander
LODHA,2017-03,+,-,-,Reinvestor
LODHA,2018-03,+,-,+,Aggressive Expander
LODHA,2019-03,-,-,+,Distress Signal
LODHA,2020-03,+,+,-,Asset Seller
LODHA,2021-03,+,+,-,Asset Seller
LODHA,2022-03,+,+,-,Asset Seller
LODHA,2023-03,+,+,-,Asset Seller
LODHA,2024-03,+,-,+,Aggressive Expander
LT,2013-03,-,-,+,Distress Signal
LT,2014-03,-,-,+,Distress Signal
LT,2015-03,-,-,+,Distress Signal
LT,2016-03,-,-,+,Distress Signal
LT,2017-03,+,-,+,Aggressive Expander
LT,2018-03,-,+,+,Distress Signal
LT,2019-03,-,-,+,Distress Signal
LT,2020-03,+,-,+,Aggressive Expander
LT,2021-03,+,-,-,Reinvestor
LT,2022-03,+,-,-,Reinvestor
LT,2023-03,+,-,-,Reinvestor
LT,2024-03,+,+,-,Asset Seller
LTIM,2013-03,+,-,-,Reinvestor
LTIM,2014-03,+,+,-,Asset Seller
LTIM,2015-03,+,-,-,Reinvestor
LTIM,2016-03,+,-,-,Reinvestor
LTIM,2017-03,+,-,-,Reinvestor
LTIM,2018-03,+,-,-,Reinvestor
LTIM,2019-03,+,-,-,Reinvestor
LTIM,2020-03,+,-,-,Reinvestor
LTIM,2021-03,+,-,-,Reinvestor
LTIM,2022-03,+,-,-,Reinvestor
LTIM,2023-03,+,-,-,Reinvestor
LTIM,2024-03,+,-,-,Reinvestor
M&M,2013-03,-,-,+,Distress Signal
M&M,2014-03,-,-,+,Distress Signal
M&M,2015-03,+,-,+,Aggressive Expander
M&M,2016-03,+,-,+,Aggressive Expander
M&M,2017-03,+,-,+,Aggressive Expander
M&M,2018-03,+,-,+,Aggressive Expander
M&M,2019-03,-,-,+,Distress Signal
M&M,2020-03,-,-,+,Distress Signal
M&M,2021-03,+,-,+,Aggressive Expander
M&M,2022-03,+,-,-,Reinvestor
M&M,2023-03,-,-,+,Distress Signal
M&M,2024-03,-,-,+,Distress Signal
MARUTI,2013-03,+,-,-,Reinvestor
MARUTI,2014-03,+,-,-,Reinvestor
MARUTI,2015-03,+,-,-,Reinvestor
MARUTI,2016-03,+,-,-,Reinvestor
MARUTI,2017-03,+,-,-,Reinvestor
MARUTI,2018-03,+,-,-,Reinvestor
MARUTI,2019-03,+,-,-,Reinvestor
MARUTI,2020-03,+,-,-,Reinvestor
MARUTI,2021-03,+,-,-,Reinvestor
MARUTI,2022-03,+,-,-,Reinvestor
MARUTI,2023-03,+,-,-,Reinvestor
MARUTI,2024-03,+,-,-,Reinvestor
MOTHERSON,2013-03,+,-,-,Reinvestor
MOTHERSON,2014-03,+,-,-,Reinvestor
MOTHERSON,2015-03,+,-,+,Aggressive Expander
MOTHERSON,2016-03,+,-,-,Reinvestor
MOTHERSON,2017-03,+,-,+,Aggressive Expander
MOTHERSON,2018-03,+,-,-,Reinvestor
MOTHERSON,2019-03,+,-,-,Reinvestor
MOTHERSON,2020-03,+,-,-,Reinvestor
MOTHERSON,2021-03,+,-,-,Reinvestor
MOTHERSON,2022-03,+,-,-,Reinvestor
MOTHERSON,2023-03,+,-,-,Reinvestor
MOTHERSON,2024-03,+,-,+,Aggressive Expander
NAUKRI,2013-03,+,-,-,Reinvestor
NAUKRI,2014-03,+,-,+,Aggressive Expander
NAUKRI,2015-03,+,-,+,Aggressive Expander
NAUKRI,2016-03,+,-,-,Reinvestor
NAUKRI,2017-03,+,-,-,Reinvestor
NAUKRI,2018-03,+,-,-,Reinvestor
NAUKRI,2019-03,+,-,-,Reinvestor
NAUKRI,2020-03,+,+,-,Asset Seller
NAUKRI,2021-03,+,-,+,Aggressive Expander
NAUKRI,2022-03,+,-,+,Aggressive Expander
NAUKRI,2023-03,+,-,+,Aggressive Expander
NAUKRI,2024-03,+,-,+,Aggressive Expander
NESTLEIND,2013-12,+,-,-,Reinvestor
NESTLEIND,2014-12,+,-,-,Reinvestor
NESTLEIND,2015-12,+,-,-,Reinvestor
NESTLEIND,2016-12,+,-,-,Reinvestor
NESTLEIND,2017-12,+,-,-,Reinvestor
NESTLEIND,2018-12,+,-,-,Reinvestor
NESTLEIND,2019-12,+,+,-,Asset Seller
NESTLEIND,2020-12,+,-,-,Reinvestor
NESTLEIND,2021-12,+,-,-,Reinvestor
NESTLEIND,2022-12,+,-,-,Reinvestor
NESTLEIND,2023-12,+,-,-,Reinvestor
NESTLEIND,2024-03,+,-,-,Reinvestor
NHPC,2013-03,+,-,-,Reinvestor
NHPC,2014-03,+,-,-,Reinvestor
NHPC,2015-03,+,-,-,Reinvestor
NHPC,2016-03,+,-,-,Reinvestor
NHPC,2017-03,+,-,-,Reinvestor
NHPC,2018-03,+,-,-,Reinvestor
NHPC,2019-03,+,-,-,Reinvestor
NHPC,2020-03,+,-,+,Aggressive Expander
NHPC,2021-03,+,-,-,Reinvestor
NHPC,2022-03,+,-,-,Reinvestor
NHPC,2023-03,+,-,-,Reinvestor
NHPC,2024-03,+,-,-,Reinvestor
NTPC,2013-03,+,-,+,Aggressive Expander
NTPC,2014-03,+,-,-,Reinvestor
NTPC,2015-03,+,-,-,Reinvestor
NTPC,2016-03,+,-,-,Reinvestor
NTPC,2017-03,+,-,+,Aggressive Expander
NTPC,2018-03,+,-,+,Aggressive Expander
NTPC,2019-03,+,-,+,Aggressive Expander
NTPC,2020-03,+,-,+,Aggressive Expander
NTPC,2021-03,+,-,-,Reinvestor
NTPC,2022-03,+,-,-,Reinvestor
NTPC,2023-03,+,-,-,Reinvestor
NTPC,2024-03,+,-,-,Reinvestor
ONGC,2013-03,+,-,-,Reinvestor
ONGC,2014-03,+,-,+,Aggressive Expander
ONGC,2015-03,+,-,-,Reinvestor
ONGC,2016-03,+,-,-,Reinvestor
ONGC,2017-03,+,-,-,Reinvestor
ONGC,2018-03,+,-,+,Aggressive Expander
ONGC,2019-03,+,-,-,Reinvestor
ONGC,2020-03,+,-,-,Reinvestor
ONGC,2021-03,+,-,-,Reinvestor
ONGC,2022-03,+,-,-,Reinvestor
ONGC,2023-03,+,-,-,Reinvestor
ONGC,2024-03,+,-,-,Reinvestor
PFC,2013-03,-,+,+,Distress Signal
PFC,2014-03,-,+,+,Distress Signal
PFC,2015-03,-,-,+,Distress Signal
PFC,2016-03,-,-,+,Distress Signal
PFC,2017-03,+,-,+,Aggressive Expander
PFC,2018-03,-,+,+,Distress Signal
PFC,2019-03,-,-,+,Distress Signal
PFC,2020-03,-,-,+,Distress Signal
PFC,2021-03,-,+,+,Distress Signal
PFC,2022-03,+,-,-,Reinvestor
PFC,2023-03,-,-,+,Distress Signal
PFC,2024-03,-,-,+,Distress Signal
PIDILITIND,2013-03,+,-,-,Reinvestor
PIDILITIND,2014-03,+,-,-,Reinvestor
PIDILITIND,2015-03,+,-,-,Reinvestor
PIDILITIND,2016-03,+,-,-,Reinvestor
PIDILITIND,2017-03,+,-,+,Aggressive Expander
PIDILITIND,2018-03,+,+,-,Asset Seller
PIDILITIND,2019-03,+,-,-,Reinvestor
PIDILITIND,2020-03,+,+,-,Asset Seller
PIDILITIND,2021-03,+,-,-,Reinvestor
PIDILITIND,2022-03,+,-,-,Reinvestor
PIDILITIND,2023-03,+,-,-,Reinvestor
PIDILITIND,2024-03,+,-,-,Reinvestor
PNB,2013-03,-,-,-,Contraction
PNB,2014-03,+,-,+,Aggressive Expander
PNB,2015-03,+,-,+,Aggressive Expander
PNB,2016-03,+,-,+,Aggressive Expander
PNB,2017-03,+,+,-,Asset Seller
PNB,2018-03,-,+,+,Distress Signal
PNB,2019-03,-,-,+,Distress Signal
PNB,2020-03,-,-,+,Distress Signal
PNB,2021-03,+,-,+,Aggressive Expander
PNB,2022-03,+,-,+,Aggressive Expander
PNB,2023-03,+,-,+,Aggressive Expander
PNB,2024-03,-,-,+,Distress Signal
POWERGRID,2013-03,+,-,+,Aggressive Expander
POWERGRID,2014-03,+,-,+,Aggressive Expander
POWERGRID,2015-03,+,-,+,Aggressive Expander
POWERGRID,2016-03,+,-,+,Aggressive Expander
POWERGRID,2017-03,+,-,+,Aggressive Expander
POWERGRID,2018-03,+,-,+,Aggressive Expander
POWERGRID,2019-03,+,-,-,Reinvestor
POWERGRID,2020-03,+,-,-,Reinvestor
POWERGRID,2021-03,+,-,-,Reinvestor
POWERGRID,2022-03,+,+,-,Asset Seller
POWERGRID,2023-03,+,-,-,Reinvestor
POWERGRID,2024-03,+,-,-,Reinvestor
RECLTD,2013-03,-,+,+,Distress Signal
RECLTD,2014-03,-,+,+,Distress Signal
RECLTD,2015-03,-,+,+,Distress Signal
RECLTD,2016-03,-,-,+,Distress Signal
RECLTD,2017-03,+,-,-,Reinvestor
RECLTD,2018-03,-,+,+,Distress Signal
RECLTD,2019-03,-,+,+,Distress Signal
RECLTD,2020-03,-,+,+,Distress Signal
RECLTD,2021-03,-,+,+,Distress Signal
RECLTD,2022-03,-,-,+,Distress Signal
RECLTD,2023-03,-,-,+,Distress Signal
RECLTD,2024-03,-,-,+,Distress Signal
RELIANCE,2013-03,+,-,+,Aggressive Expander
RELIANCE,2014-03,+,-,+,Aggressive Expander
RELIANCE,2015-03,+,-,+,Aggressive Expander
RELIANCE,2016-03,+,-,-,Reinvestor
RELIANCE,2017-03,+,-,+,Aggressive Expander
RELIANCE,2018-03,+,-,-,Reinvestor
RELIANCE,2019-03,+,-,+,Aggressive Expander
RELIANCE,2020-03,+,-,-,Reinvestor
RELIANCE,2021-03,+,-,+,Aggressive Expander
RELIANCE,2022-03,+,-,+,Aggressive Expander
RELIANCE,2023-03,+,-,+,Aggressive Expander
RELIANCE,2024-03,+,-,-,Reinvestor
SBILIFE,2013-03,+,-,-,Reinvestor
SBILIFE,2014-03,+,-,-,Reinvestor
SBILIFE,2015-03,+,-,-,Reinvestor
SBILIFE,2016-03,+,-,-,Reinvestor
SBILIFE,2017-03,+,-,-,Reinvestor
SBILIFE,2018-03,+,-,-,Reinvestor
SBILIFE,2019-03,+,-,-,Reinvestor
SBILIFE,2020-03,+,-,-,Reinvestor
SBILIFE,2021-03,+,-,+,Aggressive Expander
SBILIFE,2022-03,+,-,-,Reinvestor
SBILIFE,2023-03,+,-,-,Reinvestor
SBILIFE,2024-03,+,-,-,Reinvestor
SHREECEM,2013-06,+,-,-,Reinvestor
SHREECEM,2014-06,+,-,-,Reinvestor
SHREECEM,2015-06,+,-,-,Reinvestor
SHREECEM,2016-03,+,-,-,Reinvestor
SHREECEM,2017-03,+,-,-,Reinvestor
SHREECEM,2018-03,+,-,+,Aggressive Expander
SHREECEM,2019-03,+,-,-,Reinvestor
SHREECEM,2020-03,+,-,+,Aggressive Expander
SHREECEM,2021-03,+,-,-,Reinvestor
SHREECEM,2022-03,+,-,-,Reinvestor
SHREECEM,2023-03,+,-,-,Reinvestor
SHREECEM,2024-03,+,-,-,Reinvestor
SHRIRAMFIN,2013-03,-,-,+,Distress Signal
SHRIRAMFIN,2014-03,-,-,+,Distress Signal
SHRIRAMFIN,2015-03,-,-,+,Distress Signal
SHRIRAMFIN,2016-03,-,-,+,Distress Signal
SHRIRAMFIN,2017-03,-,-,+,Distress Signal
SHRIRAMFIN,2018-03,-,+,+,Distress Signal
SHRIRAMFIN,2019-03,-,-,+,Distress Signal
SHRIRAMFIN,2020-03,-,-,+,Distress Signal
SHRIRAMFIN,2021-03,-,-,+,Distress Signal
SHRIRAMFIN,2022-03,-,-,+,Distress Signal
SHRIRAMFIN,2023-03,-,+,+,Distress Signal
SHRIRAMFIN,2024-03,-,-,+,Distress Signal
SIEMENS,2011-09,+,+,-,Asset Seller
SIEMENS,2014-09,+,+,-,Asset Seller
SIEMENS,2015-09,+,+,-,Asset Seller
SIEMENS,2016-09,+,+,-,Asset Seller
SIEMENS,2017-09,+,+,-,Asset Seller
SIEMENS,2018-09,+,-,-,Reinvestor
SIEMENS,2019-09,+,-,-,Reinvestor
SIEMENS,2020-09,+,+,-,Asset Seller
SIEMENS,2021-09,+,-,-,Reinvestor
SIEMENS,2022-09,+,-,-,Reinvestor
SIEMENS,2023-09,+,-,-,Reinvestor
SIEMENS,2024-09,+,-,-,Reinvestor
SUNPHARMA,2013-03,+,-,-,Reinvestor
SUNPHARMA,2014-03,+,-,+,Aggressive Expander
SUNPHARMA,2015-03,+,-,-,Reinvestor
SUNPHARMA,2016-03,+,-,-,Reinvestor
SUNPHARMA,2017-03,+,-,-,Reinvestor
SUNPHARMA,2018-03,+,-,-,Reinvestor
SUNPHARMA,2019-03,+,-,-,Reinvestor
SUNPHARMA,2020-03,+,-,-,Reinvestor
SUNPHARMA,2021-03,+,+,-,Asset Seller
SUNPHARMA,2022-03,+,-,-,Reinvestor
SUNPHARMA,2023-03,+,-,+,Aggressive Expander
SUNPHARMA,2024-03,+,-,-,Reinvestor
TATACONSUM,2013-03,+,+,+,Cash Accumulator
TATACONSUM,2014-03,+,-,-,Reinvestor
TATACONSUM,2015-03,+,-,-,Reinvestor
TATACONSUM,2016-03,+,+,-,Asset Seller
TATACONSUM,2017-03,+,+,-,Asset Seller
TATACONSUM,2018-03,+,-,-,Reinvestor
TATACONSUM,2019-03,+,+,-,Asset Seller
TATACONSUM,2020-03,+,-,-,Reinvestor
TATACONSUM,2021-03,+,-,-,Reinvestor
TATACONSUM,2022-03,+,-,-,Reinvestor
TATACONSUM,2023-03,+,-,-,Reinvestor
TATACONSUM,2024-03,+,-,+,Aggressive Expander
TATAMOTORS,2013-03,+,-,-,Reinvestor
TATAMOTORS,2014-03,+,-,-,Reinvestor
TATAMOTORS,2015-03,+,-,+,Aggressive Expander
TATAMOTORS,2016-03,+,-,-,Reinvestor
TATAMOTORS,2017-03,+,-,+,Aggressive Expander
TATAMOTORS,2018-03,+,-,+,Aggressive Expander
TATAMOTORS,2019-03,+,-,+,Aggressive Expander
TATAMOTORS,2020-03,+,-,+,Aggressive Expander
TATAMOTORS,2021-03,+,-,+,Aggressive Expander
TATAMOTORS,2022-03,+,-,-,Reinvestor
TATAMOTORS,2023-03,+,-,-,Reinvestor
TATAMOTORS,2024-03,+,-,-,Reinvestor
TATAPOWER,2013-03,+,-,-,Reinvestor
TATAPOWER,2014-03,+,-,-,Reinvestor
TATAPOWER,2015-03,+,-,-,Reinvestor
TATAPOWER,2016-03,+,-,-,Reinvestor
TATAPOWER,2017-03,+,-,+,Aggressive Expander
TATAPOWER,2018-03,+,-,-,Reinvestor
TATAPOWER,2019-03,+,-,-,Reinvestor
TATAPOWER,2020-03,+,-,-,Reinvestor
TATAPOWER,2021-03,+,+,-,Asset Seller
TATAPOWER,2022-03,+,-,-,Reinvestor
TATAPOWER,2023-03,+,-,+,Aggressive Expander
TATAPOWER,2024-03,+,-,-,Reinvestor
TATASTEEL,2013-03,+,-,-,Reinvestor
TATASTEEL,2014-03,+,-,+,Aggressive Expander
TATASTEEL,2015-03,+,-,-,Reinvestor
TATASTEEL,2016-03,+,-,-,Reinvestor
TATASTEEL,2017-03,+,-,-,Reinvestor
TATASTEEL,2018-03,+,-,+,Aggressive Expander
TATASTEEL,2019-03,+,-,-,Reinvestor
TATASTEEL,2020-03,+,-,-,Reinvestor
TATASTEEL,2021-03,+,-,-,Reinvestor
TATASTEEL,2022-03,+,-,-,Reinvestor
TATASTEEL,2023-03,+,-,-,Reinvestor
TATASTEEL,2024-03,+,-,-,Reinvestor
TCS,2013-03,+,-,-,Reinvestor
TCS,2014-03,+,-,-,Reinvestor
TCS,2015-03,+,-,-,Reinvestor
TCS,2016-03,+,-,-,Reinvestor
TCS,2017-03,+,-,-,Reinvestor
TCS,2018-03,+,+,-,Asset Seller
TCS,2019-03,+,+,-,Asset Seller
TCS,2020-03,+,+,-,Asset Seller
TCS,2021-03,+,-,-,Reinvestor
TCS,2022-03,+,-,-,Reinvestor
TCS,2023-03,+,+,-,Asset Seller
TCS,2024-03,+,+,-,Asset Seller
TECHM,2013-03,+,-,+,Aggressive Expander
TECHM,2014-03,+,+,-,Asset Seller
TECHM,2015-03,+,-,-,Reinvestor
TECHM,2016-03,+,-,-,Reinvestor
TECHM,2017-03,+,-,-,Reinvestor
TECHM,2018-03,+,-,-,Reinvestor
TECHM,2019-03,+,-,-,Reinvestor
TECHM,2020-03,+,+,-,Asset Seller
TECHM,2021-03,+,-,-,Reinvestor
TECHM,2022-03,+,+,-,Asset Seller
TECHM,2023-03,+,-,-,Reinvestor
TECHM,2024-03,+,-,-,Reinvestor
TITAN,2013-03,+,-,-,Reinvestor
TITAN,2014-03,-,-,+,Distress Signal
TITAN,2015-03,+,-,-,Reinvestor
TITAN,2016-03,+,-,-,Reinvestor
TITAN,2017-03,+,-,-,Reinvestor
TITAN,2018-03,-,+,-,Restructuring
TITAN,2019-03,+,-,-,Reinvestor
TITAN,2020-03,-,+,-,Restructuring
TITAN,2021-03,+,-,-,Reinvestor
TITAN,2022-03,-,+,-,Restructuring
TITAN,2023-03,+,-,+,Aggressive Expander
TITAN,2024-03,+,-,-,Reinvestor
TORNTPHARM,2013-03,+,-,+,Aggressive Expander
TORNTPHARM,2014-03,+,-,+,Aggressive Expander
TORNTPHARM,2015-03,+,-,+,Aggressive Expander
TORNTPHARM,2016-03,+,-,-,Reinvestor
TORNTPHARM,2017-03,+,-,-,Reinvestor
TORNTPHARM,2018-03,+,-,+,Aggressive Expander
TORNTPHARM,2019-03,+,-,-,Reinvestor
TORNTPHARM,2020-03,+,+,-,Asset Seller
TORNTPHARM,2021-03,+,-,-,Reinvestor
TORNTPHARM,2022-03,+,-,-,Reinvestor
TORNTPHARM,2023-03,+,-,+,Aggressive Expander
TORNTPHARM,2024-03,+,-,-,Reinvestor
TRENT,2013-03,+,-,+,Aggressive Expander
TRENT,2014-03,-,-,-,Contraction
TRENT,2015-03,-,-,+,Distress Signal
TRENT,2016-03,+,-,-,Reinvestor
TRENT,2017-03,+,-,-,Reinvestor
TRENT,2018-03,+,-,-,Reinvestor
TRENT,2019-03,+,-,+,Aggressive Expander
TRENT,2020-03,+,-,+,Aggressive Expander
TRENT,2021-03,+,+,-,Asset Seller
TRENT,2022-03,+,+,-,Asset Seller
TRENT,2023-03,+,-,-,Reinvestor
TRENT,2024-03,+,-,-,Reinvestor
TVSMOTOR,2013-03,+,-,-,Reinvestor
TVSMOTOR,2014-03,+,-,-,Reinvestor
TVSMOTOR,2015-03,+,-,+,Aggressive Expander
TVSMOTOR,2016-03,+,-,-,Reinvestor
TVSMOTOR,2017-03,+,-,-,Reinvestor
TVSMOTOR,2018-03,+,-,+,Aggressive Expander
TVSMOTOR,2019-03,-,-,+,Distress Signal
TVSMOTOR,2020-03,+,-,+,Aggressive Expander
TVSMOTOR,2021-03,+,-,+,Aggressive Expander
TVSMOTOR,2022-03,-,-,+,Distress Signal
TVSMOTOR,2023-03,-,-,+,Distress Signal
TVSMOTOR,2024-03,-,-,+,Distress Signal
ULTRACEMCO,2013-03,+,-,+,Aggressive Expander
ULTRACEMCO,2014-03,+,-,-,Reinvestor
ULTRACEMCO,2015-03,+,-,-,Reinvestor
ULTRACEMCO,2016-03,+,-,-,Reinvestor
ULTRACEMCO,2017-03,+,-,-,Reinvestor
ULTRACEMCO,2018-03,+,+,-,Asset Seller
ULTRACEMCO,2019-03,+,+,-,Asset Seller
ULTRACEMCO,2020-03,+,-,-,Reinvestor
ULTRACEMCO,2021-03,+,-,-,Reinvestor
ULTRACEMCO,2022-03,+,+,-,Asset Seller
ULTRACEMCO,2023-03,+,-,-,Reinvestor
ULTRACEMCO,2024-03,+,-,-,Reinvestor
UNIONBANK,2013-03,-,-,+,Distress Signal
UNIONBANK,2014-03,+,-,+,Aggressive Expander
UNIONBANK,2015-03,-,-,+,Distress Signal
UNIONBANK,2016-03,+,-,-,Reinvestor
UNIONBANK,2017-03,-,-,+,Distress Signal
UNIONBANK,2018-03,+,-,+,Aggressive Expander
UNIONBANK,2019-03,-,-,+,Distress Signal
UNIONBANK,2020-03,-,-,+,Distress Signal
UNIONBANK,2021-03,+,-,-,Reinvestor
UNIONBANK,2022-03,+,-,-,Reinvestor
UNIONBANK,2023-03,+,-,-,Reinvestor
UNIONBANK,2024-03,+,-,-,Reinvestor
